Data Pibal
station_id,station_name,data_timestamp,station_elevation,lapisan,wd,ws,dddff,sandi_pibal
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-04-05T12:00:00,456,,,,,"PPAA 55121 97340
NIL=

PPBB 55121 97340
NIL="
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,1000,20,12,02012,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,2000,75,15,07515,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,3000,65,8,06508,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,4000,40,7,04007,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,5000,40,10,04010,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,6000,35,17,03517,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,7000,35,12,03512,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,8000,50,13,05013,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013="
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,1000,190,5,19005,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,2000,155,4,15504,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,3000,110,15,11015,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,4000,140,9,14009,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,5000,135,10,13510,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,6000,120,18,12018,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,7000,105,15,10515,
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,8000,110,15,11015,
