Raw Pibal
station_id,station_name,data_timestamp,station_elevation,wind_dir_surface,wind_speed_surface,pembacaan,azimuth,elevasi,sandi_pibal,penghentian_pengamatan,observer_name
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-04-05T12:00:00,456,230,8,1,,,"PPAA 55121 97340
NIL=

PPBB 55121 97340
NIL=",MLC,Yenny Thenu
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,1,9999,9999,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,2,175.7,22.3,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,3,186.0,22.8,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,4,185.0,24.1,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,5,202.8,26.0,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,6,210.3,28.7,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,7,215.2,29.7,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,8,216.8,30.0,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,9,217.0,30.4,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,10,215.5,29.0,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,11,216.0,28.8,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,12,217.4,28.2,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,13,217.4,26.6,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,14,217.3,25.6,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,15,217.0,25.3,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,16,217.6,25.6,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2024-08-22T06:00:00,32.8,50,12,17,218.7,25.3,"PPAA 72061 97340
55185 04010 
77999=

PPBB 72061 97340
90/12 05012 02012 07515  
90345 06508 04007 04010  
90678 03517 03512 05013=",BB,Adi Rachman
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,1,9999,9999,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,2,32.0,40.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,3,24.0,43.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,4,18.0,45.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,5,10.0,47.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
